,Kingdom,Phylum,Class,Order,Family,Genus,Species,Confidence
b07b74f9e85bf154fd576b6a939301f4,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Dermabacteraceae, g__Brachybacterium, s__,0.99856658
301408f331669f1aae29746aaffba4d0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Rickettsiaceae, g__Wolbachia, s__,0.980749051
c512bccaf960ac1621e76cee91df6d06,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Rickettsiaceae, g__Rickettsia, s__Rickettsia endosymbiont of Deronectes platynotus,0.999998872
8f5bb8d5704c3a2834b351d4f331857e,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Legionellales, f__Coxiellaceae, g__Rickettsiella, s__,0.999840766
d79ea164d1bf9f6d764611e39edfd3db,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__, g__, s__,0.810246994
1596e434654e307f72ae1deae15c0cbf,k__Bacteria, p__Bacteroidetes, c__[Saprospirae], o__[Saprospirales], f__Chitinophagaceae, g__Sediminibacterium, s__,0.996814243
d3b24f7fb9a3f05c13c93d898ea5fc6b,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Bradyrhizobiaceae,,,0.998880818
e10c97736f8090fcde8d2bdceed87811,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Legionellales, f__Coxiellaceae,,,0.774709566
ec3707511408e73e4c8a19b8f0bd6a08,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rickettsiales, f__Rickettsiaceae, g__Wolbachia, s__,0.992152392
21dcc87ddc3fec93117529cfe8699d56,k__Bacteria,,,,,,,0.999918263
890cd47bd9ed8865ce52e0ebf1d09d07,k__Bacteria, p__Elusimicrobia, c__Elusimicrobia, o__Elusimicrobiales, f__, g__, s__,0.999987195
54952a7b66d5769136488afdeb925e43,k__Bacteria, p__Tenericutes, c__Mollicutes, o__Entomoplasmatales, f__, g__, s__,0.999988399
f17d3da8eb98435912cf7cfb2d1bfbdb,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Propionibacteriaceae, g__Propionibacterium, s__acnes,0.999986591
9878a8a6dd09125f72258a0dcac3ff9d,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Rhodoferax, s__,0.982288805
cf7d8c361c4e59ae7d6d5d63be43bde9,k__Bacteria, p__Bacteroidetes, c__Cytophagia, o__Cytophagales, f__[Amoebophilaceae], g__Candidatus Cardinium, s__,0.999999866
77085bbd6840bee9c14ec72037e51551,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__Rhodospirillaceae, g__Reyranella, s__massiliensis,0.994349639
